,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,"(21, 0, 0)","(17, 0, 0)","(13, 0, 0)","(9, 0, 0)","(5, 0, 0)","(1, 1, 19)","(2, 0, 19)",,,,,,,,
1,0.0,0.0,0.0,0.0,,,,,,,,,,,
2,"(17, 3, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,
3,0.0,0.0,0.0,0.0,,,,,,,,,,,
4,"(15, 0, 0)","(11, 0, 0)","(7, 2, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 0, 19)",,,,,,,,
5,0.0,0.0,0.0,0.0,,,,,,,,,,,
6,"(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,,,
7,0.0,0.0,0.0,0.0,,,,,,,,,,,
8,"(19, 0, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,
9,0.0,0.0,0.0,0.0,,,,,,,,,,,
10,"(13, 0, 0)","(9, 0, 0)","(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,
11,0.0,0.0,0.0,0.0,,,,,,,,,,,
12,"(4, 2, 10)","(8, 0, 10)",,,,,,,,,,,,,
13,0.0,0.0,0.0,0.0,,,,,,,,,,,
14,"(20, 0, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,
15,0.0,0.0,0.0,0.0,,,,,,,,,,,
16,"(22, 3, 0)","(21, 0, 0)","(17, 3, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,
17,0.7581349999999999,0.0,0.0,0.0,,,,,,,,,,,
18,"(13, 0, 0)","(9, 0, 0)","(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,
19,0.7581349999999999,0.0,0.0,0.0,,,,,,,,,,,
20,"(19, 0, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,
21,0.7581349999999999,0.0,0.0,0.0,,,,,,,,,,,
22,"(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,,
23,0.7581349999999999,0.0,0.0,0.0,,,,,,,,,,,
24,"(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,,
25,0.7581349999999999,0.0,0.0,0.0,,,,,,,,,,,
26,"(9, 0, 0)","(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,,
27,0.7581349999999999,0.0,0.0,0.0,,,,,,,,,,,
28,"(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,,,,
29,0.7581349999999999,0.0,0.0,0.0,,,,,,,,,,,
30,"(13, 0, 0)","(9, 0, 0)","(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,
31,0.7581349999999999,0.0,0.0,0.0,,,,,,,,,,,
32,"(3, 3, 19)","(2, 3, 19)",,,,,,,,,,,,,
33,0.7581349999999999,0.0,0.0,0.0,,,,,,,,,,,
34,"(9, 0, 0)","(5, 0, 0)","(1, 2, 0)","(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,
35,0.7581349999999999,0.0,0.0,0.0,,,,,,,,,,,
36,"(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,,,,
37,0.7581349999999999,0.0,0.0,0.0,,,,,,,,,,,
