,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,"(1, 1, 19)","(2, 0, 19)",,,,,,,,,,,,
1,0.0,0.0,0.0,0.0,,,,,,,,,,
2,"(21, 0, 0)","(17, 0, 0)","(13, 0, 0)","(9, 0, 0)","(13, 0, 0)","(9, 0, 0)","(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,
3,0.0,0.0,0.0,0.0,,,,,,,,,,
4,"(4, 0, 0)","(0, 2, 0)","(4, 0, 0)","(0, 2, 0)","(4, 0, 0)","(0, 2, 0)","(4, 0, 0)","(0, 1, 0)","(1, 1, 19)","(2, 1, 19)",,,,
5,0.0,0.0,0.0,0.0,,,,,,,,,,
6,"(19, 0, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 0, 19)",,,,,,,,
7,0.0,0.0,0.0,0.0,,,,,,,,,,
8,"(17, 0, 0)","(13, 0, 0)","(9, 1, 0)","(13, 0, 0)","(9, 1, 10)","(8, 1, 10)",,,,,,,,
9,0.0,0.0,0.0,0.0,,,,,,,,,,
10,"(19, 0, 0)","(15, 0, 0)","(11, 0, 0)","(7, 2, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,
11,0.0,0.0,0.0,0.0,,,,,,,,,,
12,"(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,,,
13,0.0,0.0,0.0,0.0,,,,,,,,,,
14,"(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,,
15,0.0,0.0,0.0,0.0,,,,,,,,,,
16,"(19, 0, 0)","(15, 0, 0)","(11, 2, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,
17,0.0,0.0,0.0,0.0,,,,,,,,,,
18,"(16, 2, 0)","(20, 0, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,
19,0.0,0.0,0.0,0.0,,,,,,,,,,
20,"(13, 0, 0)","(9, 1, 0)","(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,
21,0.0,0.0,0.0,0.0,,,,,,,,,,
22,"(20, 0, 0)","(16, 1, 0)","(17, 0, 0)","(13, 2, 0)","(17, 0, 0)","(13, 0, 0)","(9, 1, 0)",,,,,,,
23,0.0,0.0,0.0,0.0,,,,,,,,,,
24,"(19, 0, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,
25,0.0,0.0,0.0,0.0,,,,,,,,,,
26,"(0, 1, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,,
27,0.0,0.0,0.0,0.0,,,,,,,,,,
28,"(13, 0, 0)","(9, 1, 0)","(13, 0, 0)","(9, 1, 0)","(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,
29,0.0,0.0,0.0,0.0,,,,,,,,,,
30,"(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,
31,0.0,0.0,0.0,0.0,,,,,,,,,,
32,"(17, 0, 0)","(13, 0, 0)","(9, 2, 0)","(13, 3, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,
33,0.0,0.0,0.0,0.0,,,,,,,,,,
34,"(4, 0, 0)","(0, 1, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,
35,0.0,0.0,0.0,0.0,,,,,,,,,,
36,"(20, 0, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,
37,0.0,0.0,0.0,0.0,,,,,,,,,,
38,"(20, 1, 0)","(21, 0, 0)","(17, 0, 0)","(13, 3, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,
39,0.0,0.0,0.0,0.0,,,,,,,,,,
40,"(23, 0, 0)","(19, 0, 0)","(15, 2, 0)","(19, 0, 0)","(15, 2, 0)","(19, 0, 0)","(15, 2, 0)","(19, 0, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",
41,0.0,0.0,0.0,0.0,,,,,,,,,,
42,"(13, 3, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,
43,0.0,0.0,0.0,0.0,,,,,,,,,,
44,"(4, 0, 0)","(0, 1, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,
