,0,1,2,3,4,5,6,7,8,9,10,11,12
0,"(21, 0, 0)","(17, 0, 0)","(13, 0, 0)","(9, 0, 0)","(5, 0, 0)","(1, 1, 19)","(2, 0, 19)",,,,,,
1,0.0,0.0,0.0,0.0,,,,,,,,,
2,"(17, 0, 0)","(13, 0, 0)","(9, 2, 0)","(13, 0, 0)","(9, 3, 10)","(8, 1, 10)",,,,,,,
3,0.0,0.0,0.0,0.0,,,,,,,,,
4,"(5, 0, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,
5,0.0,0.0,0.0,0.0,,,,,,,,,
6,"(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,
7,0.0,0.0,0.0,0.0,,,,,,,,,
8,"(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,
9,0.0,0.0,0.0,0.0,,,,,,,,,
10,"(7, 0, 0)","(3, 2, 0)","(7, 0, 0)","(3, 2, 0)","(7, 0, 0)","(3, 3, 19)","(2, 0, 19)",,,,,,
11,0.0,0.0,0.0,0.0,,,,,,,,,
12,"(0, 2, 0)","(4, 0, 0)","(0, 1, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,
13,0.0,0.0,0.0,0.0,,,,,,,,,
14,"(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,
15,0.0,0.0,0.0,0.0,,,,,,,,,
16,"(19, 0, 0)","(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,
17,0.0,0.0,0.0,0.0,,,,,,,,,
18,"(9, 3, 10)","(8, 3, 10)",,,,,,,,,,,
19,0.0,0.0,0.0,0.0,,,,,,,,,
20,"(20, 0, 0)","(16, 0, 0)","(12, 0, 10)","(8, 0, 10)",,,,,,,,,
21,0.0,0.0,0.0,0.0,,,,,,,,,
22,"(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,
23,0.0,0.0,0.0,0.0,,,,,,,,,
24,"(15, 0, 0)","(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,
25,0.0,0.0,0.0,0.0,,,,,,,,,
26,"(0, 1, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,,
27,0.0,0.0,0.0,0.0,,,,,,,,,
28,"(17, 0, 0)","(13, 0, 0)","(9, 3, 10)","(8, 3, 10)",,,,,,,,,
29,0.0,0.0,0.0,0.0,,,,,,,,,
30,"(12, 0, 10)","(8, 0, 10)",,,,,,,,,,,
31,0.0,0.0,0.0,0.0,,,,,,,,,
32,"(21, 0, 0)","(17, 0, 0)","(13, 0, 0)","(9, 3, 10)","(8, 3, 10)",,,,,,,,
33,0.42708333333333326,0.0,0.0,0.0,,,,,,,,,
34,"(21, 0, 0)","(17, 0, 0)","(13, 0, 0)","(9, 3, 10)","(8, 3, 10)",,,,,,,,
35,0.8098958333333333,0.0,0.0,0.0,,,,,,,,,
36,"(4, 0, 0)","(0, 1, 0)","(1, 1, 19)","(2, 1, 19)",,,,,,,,,
37,0.8098958333333333,0.0,0.0,0.0,,,,,,,,,
38,"(9, 3, 10)","(8, 3, 10)",,,,,,,,,,,
39,0.8098958333333333,0.0,0.0,0.0,,,,,,,,,
40,"(1, 1, 19)","(2, 1, 19)",,,,,,,,,,,
41,0.8098958333333333,0.0,0.0,0.0,,,,,,,,,
42,"(11, 0, 0)","(7, 0, 0)","(3, 3, 19)","(2, 3, 19)",,,,,,,,,
